Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Exemptions,Exemptions start date,Mandatory Reliefs,Mandatory Relief Start Date,Pub Relief,Additional Relief,Revaluation Relief,Supporting Small Business Relief
24852,Bradford MDC,"Football Field, Cockcroft Fold, Harden, Bingley, BD16 1HU",BD16 1HU,53.84136,-1.86597,1990-04-01,1650,LS4,PLAYING FIELD AND PREMISES,1990-04-01,Y,,,,,,,,
24854,,"Front Part, Ground Floor, 32, South Street, Keighley, BD21 1PF",BD21 1PF,53.86303,-1.91182,1997-12-01,2700,CS,SHOP AND PREMISES,2007-10-26,Y,,,Small Business Rate Relief,2007-10-26,,,,
24856,,"135, Bradford Road, Shipley, BD18 3TB",BD18 3TB,53.82586,-1.77917,1990-04-01,4050,CS,SHOP AND PREMISES,2016-10-31,Y,,,Small Business Rate Relief,2016-10-31,,,,
24860,,"16a, Round Thorn Place, Girlington, Bradford, BD8 9ND",BD8 9ND,53.79943,-1.78741,1990-04-01,1875,IF3,WORKSHOP AND PREMISES,2014-04-01,Y,,,,,,,,
24864,The City Vaults Limited,"City Vaults, 33, Hustlergate, Bradford, BD1 1NT",BD1 1NT,53.79464,-1.75220,1993-06-29,35500,CL,PUBLIC HOUSE AND PREMISES,2006-12-15,Y,,,,,Yes,,,
24869,,"92, St Margarets Road, Bradford, BD7 3AE",BD7 3AE,53.78898,-1.77585,1990-04-01,2650,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24870,Trans Pennine Bearing Company Limited,"48, Listerhills Road, Bradford, BD7 1HT",BD7 1HT,53.79466,-1.76681,1990-04-01,5700,CW,WAREHOUSE AND PREMISES,1994-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24872,Age Uk Bradford & District,"8, Cooke Lane, Keighley, BD21 3PF",BD21 3PF,53.86653,-1.90880,1990-04-01,30000,CS,SHOP AND PREMISES,2009-10-22,Y,,,Mandatory Relief,2010-01-20,,,Yes,
24873,T. Saunders & Sons Limited,"338, Whitehall Road, Bradford, BD12 9PD",BD12 9PD,,1997-03-17,10500,CW,WAREHOUSE AND PREMISES,2005-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24874,Snowbest Limited,"Lower Ground Floor, 17, Piccadilly, Bradford, BD1 3ND",BD1 3ND,53.79509,-1.75314,1990-04-01,3800,CO,OFFICES AND PREMISES,2012-06-01,,Listed Building,2012-06-01,,,,,,
24876,Bradford MDC,"Wellington Primary School, Dudley Hill Road, Bradford, BD2 3DE",BD2 3DE,53.81198,-1.73077,1993-09-01,78500,EL,SCHOOL AND PREMISES,1993-09-01,Y,,,,,,,,
24878,Czerwinska Group Of Companies Ltd,"First Floor, 2, Eldon Place, Bradford, BD1 3AZ",BD1 3AZ,53.79978,-1.75983,1990-04-01,3750,CO,OFFICES AND PREMISES,2017-05-01,Y,,,Small Business Rate Relief,2017-05-01,,,,
24880,Kuverite Upholstery Limited,"114, Undercliffe Road, Bradford, BD2 3BN",BD2 3BN,53.81511,-1.73157,1990-04-01,6500,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24882,,"Caravan Site Dalesbank Farm, Low Lane, Silsden, BD20 9JH",BD20 9JH,53.93174,-1.94573,1990-04-01,16500,CC1,CARAVAN PARK AND PREMISES,1998-04-01,Y,,,,,,,Yes,
24884,,"25, Church Street, Ilkley, LS29 9DR",LS29 9DR,53.92608,-1.82458,1990-04-01,7400,CS,SHOP AND PREMISES,2015-10-09,Y,,,Small Business Rate Relief,2015-10-09,,,,
24887,Coral Racing Limited,"913, Harrogate Road, Bradford, BD10 0QY",BD10 0QY,53.83090,-1.71278,1990-04-01,7000,CS,SHOP AND PREMISES,2004-04-01,Y,,,,,,,,
24889,,"2, The Parade, Cottingley, Bingley, BD16 1RP",BD16 1RP,53.82989,-1.82971,1992-04-01,12750,CS,SHOP AND PREMISES,2018-09-23,Y,,,Small Business Rate Relief,2018-09-23,,,,
24894,1 Step Properties Limited,"20, Rooley Lane, Bradford, BD5 8LX",BD5 8LX,53.76803,-1.76066,1990-04-01,3650,CS,SHOP AND PREMISES,2014-04-01,Y,,,Small Business Rate Relief,2014-04-01,,,,
24906,,"5, Edmund Street, Bradford, BD5 0BH",BD5 0BH,53.78971,-1.75906,1990-04-01,1875,CO,OFFICES AND PREMISES,2017-10-06,Y,,,Small Business Rate Relief,2017-10-06,,,,
24907,Clear Channel Uk Limited,"Advert Right 1296 01-02, Rooley Lane, Bradford, BD5 8LU",BD5 8LU,53.76832,-1.76099,1990-04-01,6200,CA,ADVERTISING RIGHT AND PREMISES,1990-04-01,Y,,,,,,,,
24909,Xtex Polythene Limited,"Spring Mill, Main Street, Wilsden, Bradford, BD15 0DX",BD15 0DX,53.82429,-1.86169,1990-04-01,17250,IF3,WORKSHOP AND PREMISES,1992-04-01,Y,,,,,,,,
24912,,"54, Main Road, Denholme, BD13 4BL",BD13 4BL,53.80246,-1.89421,1990-04-01,3250,CS,SHOP AND PREMISES,2004-05-01,Y,,,Small Business Rate Relief,2010-10-01,,,,
24913,1st Safari Day Nurseries Limited,"8, West Lane, Thornton, Bradford, BD13 3HX",BD13 3HX,53.79190,-1.85165,1990-04-01,13250,EN1,DAY NURSERY AND PREMISES,2007-12-01,Y,,,,,,,,
24914,,"22, Carlisle Road, Bradford, BD8 8AD",BD8 8AD,53.80571,-1.76848,1990-04-01,4450,CS,SHOP AND PREMISES,1991-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24922,Lloyds Bank Plc,"Offices 4th Floor, Lloyds Bank Chambers, Hustlergate, Bradford, BD1 1PH",BD1 1PH,53.79464,-1.75196,1996-05-01,5200,CO,OFFICES AND PREMISES,2016-09-28,,Listed Building,2016-09-28,,,,,,
24923,Lloyds Bank Plc,"45, Hustlergate, Bradford, BD1 1PH",BD1 1PH,53.79464,-1.75196,1993-06-29,93500,CS1,,1993-06-29,Y,,,,,,,,
24938,,"388, Kings Road, Bradford, BD2 1NH",BD2 1NH,53.82364,-1.74351,1990-04-01,5400,CS,,2007-06-07,Y,,,Small Business Rate Relief,2007-06-07,,,,
24939,P.F.Farnish & Co.Limited,"126, Valley Road, Bradford, BD1 4RU",BD1 4RU,53.80720,-1.75781,1990-04-01,8300,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24942,National Westminster Bank Plc,"19, The Grove, Ilkley, LS29 9LW",LS29 9LW,53.92435,-1.82395,1990-04-01,31000,CS1,BANK AND PREMISES,1990-04-01,Y,,,,,,,,
24943,,"13, Wells Road, Ilkley, LS29 9JB",LS29 9JB,53.92384,-1.82234,1990-04-01,9700,CS,SHOP AND PREMISES,2013-03-01,Y,,,Small Business Rate Relief,2013-03-01,,,,
24946,St Paul'S Street (Investments) Limited,"911, Harrogate Road, Bradford, BD10 0QY",BD10 0QY,53.83090,-1.71278,1990-04-01,4150,CS,SHOP AND PREMISES,2008-04-01,,,,,,,,,
24952,N S Johal & Sons Limited,"484-486, Huddersfield Road, Wyke, Bradford, BD12 8AS",BD12 8AS,53.74445,-1.76739,1997-06-25,15000,CS,SHOP AND PREMISES,2014-09-01,Y,,,,,,,,
24954,,"Unit 4, Knowles Street, Bradford, BD4 6HA",BD4 6HA,53.77099,-1.72405,1992-04-01,9700,IF3,WORKSHOP AND PREMISES,2017-11-01,Y,,,Small Business Rate Relief,2017-11-13,,,,
24955,,"Cross Garage, New Works Road, Low Moor, Bradford, BD12 0RQ",BD12 0RQ,53.74991,-1.75896,1990-04-01,9600,IF3,WORKSHOP AND PREMISES,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24956,,"1, Staveley Road, Keighley, BD22 7BX",BD22 7BX,53.85387,-1.92046,1990-04-01,2225,CS,SHOP AND PREMISES,1991-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24960,,"76, West End, Queensbury, Bradford, BD13 2ES",BD13 2ES,53.76571,-1.85333,1990-04-01,5100,CS,SHOP AND PREMISES,2001-12-03,Y,,,Small Business Rate Relief,2007-04-01,,,,
24962,,"139, Southfield Lane, Bradford, BD5 9HQ",BD5 9HQ,53.77700,-1.77716,1990-04-01,6200,CS,,2008-12-15,Y,,,Small Business Rate Relief,2008-12-15,,,,
24963,,"Unit 14, Walk Mills, The Walk, Coney Lane, Keighley, BD21 5AR",BD21 5AR,53.86259,-1.90630,1990-04-01,4050,CW,WAREHOUSE AND PREMISES,2016-09-12,Y,,,Small Business Rate Relief,2016-09-12,,,,
24964,,"185, St Enochs Road, Bradford, BD6 3AB",BD6 3AB,53.76824,-1.78056,1990-04-01,4450,CS,,2012-05-24,Y,,,Small Business Rate Relief,2012-09-24,,,,
24971,Denholme United A F C,"Meeting Rooms, Near Little Bull Inn, Hill Crest Road, Denholme, BD13 4JA",BD13 4JA,53.80466,-1.89583,1990-04-01,1600,LC3,MEETING ROOMS & PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
24974,Anduff Car Wash Limited,"Carwash, South Street, Keighley, BD21 1EN",BD21 1EN,53.85913,-1.91125,1998-03-18,17500,CX,CAR WASH AND PREMISES,1998-03-18,Y,,,,,,,,
24975,,"39, Bradford Road, Shipley, BD18 3DS",BD18 3DS,53.83138,-1.78341,1990-04-01,6900,CS,SHOP AND PREMISES,1996-05-26,Y,,,Small Business Rate Relief,2007-04-01,,,,
24978,Bradford MDC,"High Croft Youth Centre, Snowden Road, Shipley, BD18 1JD",BD18 1JD,53.82941,-1.75999,1990-04-01,11250,LC,YOUTH CENTRE AND PREMISES,1990-04-01,Y,,,,,,,,
24981,,"Unit 2, Knowle Spring Industrial Est, South Street, Keighley, BD21 1AQ",BD21 1AQ,53.85772,-1.91246,1990-04-01,9900,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,2016-07-04,Y,,,Small Business Rate Relief,2016-07-04,,,,
24983,Hig Luxembourg Holdings 79 Sarl,"5, Central Square, Kirkgate Centre, Bradford, BD1 1QY",BD1 1QY,53.79484,-1.75507,1993-08-15,174000,CS,,2016-04-01,,,,,,,,,
24999,,"37, Kirkgate, Silsden, Keighley, BD20 0AJ",BD20 0AJ,53.91254,-1.93784,1990-04-01,6800,CS,SHOP AND PREMISES,2011-03-01,Y,,,Small Business Rate Relief,2011-03-01,,,,
25001,,"The Post Office, Station Road, Burley-In-Wharfedale, Ilkley, LS29 7NB",LS29 7NB,53.91304,-1.75035,1990-04-01,5000,CS,SHOP AND PREMISES,2016-08-27,Y,,,Small Business Rate Relief,2016-08-27,,,,
25002,Scott Janitorial Supplies Limited,"Beecroft House, Dalton Lane, Keighley, BD21 4JH",BD21 4JH,53.86902,-1.89414,1998-08-01,25500,CW,WAREHOUSE AND PREMISES,2000-10-20,Y,,,,,,,,
25008,,"14, Woodhall Avenue, Bradford, BD3 7BU",BD3 7BU,53.80317,-1.70645,1990-04-01,1900,CS,SHOP AND PREMISES,2016-08-16,Y,,,Small Business Rate Relief,2016-08-16,,,,
25010,Elliott Musgrave Limited,"Mount Street Mill, Jackson Street, Laisterdyke, Bradford, BD3 9SJ",BD3 9SJ,53.79074,-1.73624,1990-04-01,13500,IF,FACTORY AND PREMISES,1990-04-01,Y,,,,,,,,
25011,Diamond Vapes Bradford Ltd,"798, Leeds Road, Bradford, BD3 9TY",BD3 9TY,53.79211,-1.72998,1990-04-01,7600,CS,SHOP AND PREMISES,2017-08-01,Y,,,Small Business Rate Relief,2017-08-01,,,,
25015,Game Retail Limited,"19, Cooke Lane, Keighley, BD21 3PF",BD21 3PF,53.86653,-1.90880,1990-04-01,37000,CS,SHOP AND PREMISES,2012-03-01,Y,,,,,,,,
25021,Great Horton Conservative Club,"2-4, Westcroft Road, Bradford, BD7 3EJ",BD7 3EJ,53.78175,-1.78644,1990-04-01,7000,CL2,,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25027,Bradford MDC,"Crossflatts Primary School, Morton Lane, Crossflatts, Bingley, BD16 2EP",BD16 2EP,53.86491,-1.84813,1990-04-01,78500,EL,,1990-04-01,Y,,,,,,,,
25028,,"7, Clyde Street, Bingley, BD16 4LE",BD16 4LE,53.85033,-1.83467,1990-04-01,5600,CS,SHOP AND PREMISES,1993-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25030,Electroworld Direct Ltd,"Unity Buildings, 44, Main Road, Denholme, BD13 4BL",BD13 4BL,53.80246,-1.89421,1990-04-01,3300,CS,SHOP AND PREMISES,2005-08-31,Y,,,Small Business Rate Relief,2007-04-01,,,,
25032,,"76-82, Carlisle Road, Bradford, BD8 8BB",BD8 8BB,53.80571,-1.77186,1990-04-01,11250,CS,SHOP AND PREMISES,2018-08-16,Y,,,Small Business Rate Relief,2018-08-16,,,,
25033,,"8, Church Street, Keighley, BD21 5HS",BD21 5HS,53.86525,-1.91004,1998-02-01,1725,CS,SHOP AND PREMISES,2013-07-01,Y,,,Small Business Rate Relief,2013-07-01,,,,
25039,,"562, Thornton Road, Bradford, BD8 9NF",BD8 9NF,53.79931,-1.78913,1990-04-01,6900,CS,SHOP AND PREMISES,2013-01-01,Y,,,Small Business Rate Relief,2013-01-01,,,,
25041,,"61, Cavendish Street, Keighley, BD21 3RB",BD21 3RB,53.86760,-1.90491,1990-04-01,6800,CS,SHOP AND PREMISES,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25052,Quebec Properties Ltd,"20, Quebec Street, Bradford, BD1 2ER",BD1 2ER,53.79253,-1.75800,1990-04-01,5600,CW3,STORE AND PREMISES,2008-04-01,,Listed Building,2016-12-14,,,,,,
25056,Bradford MDC,"Carlton-Bolling Upper School, Undercliffe Lane, Bradford, BD3 0QD",BD3 0QD,53.80349,-1.73496,1990-04-01,485000,EL,,1990-04-01,Y,,,,,,,,
25064,W.E. Leach (Shipley) Limited,"Rawdon Quarry, Apperley Lane, Bradford, BD10 0PE",BD10 0PE,53.84550,-1.70181,1990-04-01,3950,IM,,1990-04-01,Y,,,,,,,,
25070,Arcadia Food Industries Limited,"Famos House, Pawson Street, Bradford, BD4 8AJ",BD4 8AJ,53.79017,-1.71894,1990-04-01,102000,IF,FACTORY AND PREMISES,2001-08-10,Y,,,,,,,,
25071,Jumparooz Limited,"Unit 2, Prospect Mills, Knowles Street, Bradford, BD4 6HA",BD4 6HA,53.77099,-1.72405,1990-04-01,47500,CW,TRAMPOLINE PARK & PREMISES,2016-09-22,Y,,,,,,,,
25078,,"Nursery Fisheries, 20, Nursery Road, (Station Road), Bradford, BD14 6AP",BD14 6AP,53.78210,-1.81967,1990-04-01,2550,CS,,2012-01-23,Y,,,Small Business Rate Relief,2013-12-14,,,,
25080,,"6, Church Street, Keighley, BD21 5HS",BD21 5HS,53.86525,-1.91004,1998-02-01,5000,CR,RESTAURANT AND PREMISES,2016-11-01,Y,,,Small Business Rate Relief,2016-12-01,,,,
25081,Northside Convenience Stores Ltd,"183, Northside Road, Bradford, BD7 2QT",BD7 2QT,53.79154,-1.79058,1990-04-01,5300,CS,SHOP AND PREMISES,2008-08-30,Y,,,Small Business Rate Relief,2008-08-30,,,,
25082,,"104, Beacon Road, Bradford, BD6 3EU",BD6 3EU,53.76864,-1.78690,1990-04-01,2475,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25086,James Gore & Sons Limited,"Morton Bridge, Morton Lane, East Morton, Keighley, BD20 5RP",BD20 5RP,53.86863,-1.85268,1990-04-01,18500,CW,,1990-04-01,Y,,,,,,,,
25087,Dr Amanda Mallikarachchi,"1st Floor, 1, Park Road, Bingley, BD16 4BD",BD16 4BD,53.84911,-1.83801,1990-04-01,3800,MH,SURGERY AND PREMISES,2011-03-19,Y,,,Small Business Rate Relief,2011-03-19,,,,
25090,,"504, Thornton Road, Thornton, Bradford, BD13 3JD",BD13 3JD,53.79067,-1.85320,1990-04-01,9300,CS,SHOP AND PREMISES,2018-03-30,Y,,,Small Business Rate Relief,2018-03-30,,,,
25094,Barclays Bank Plc,"35-37, Otley Road, Shipley, BD18 3QA",BD18 3QA,53.83408,-1.77627,1990-04-01,17500,CS1,BANK AND PREMISES,1990-04-01,Y,,,,,,,,
25097,Total Accident Consultants Ltd,"55, Duckworth Lane, Bradford, BD9 5ET",BD9 5ET,53.80565,-1.79006,1990-04-01,3600,CS,SHOP AND PREMISES,2004-09-28,,,,,,,,,
25098,,"61b, Cavendish Street, Keighley, BD21 3RB",BD21 3RB,53.86760,-1.90491,1990-04-01,10250,CS,SHOP AND PREMISES,2015-04-02,Y,,,,,,,,
25104,Continental Travel Agency Ltd,"12, Laisteridge Lane, Bradford, BD7 1RD",BD7 1RD,53.78912,-1.76723,1990-04-01,4650,CS,SHOP AND PREMISES,2011-04-01,Y,,,Small Business Rate Relief,2011-06-01,,,,
25110,,"Workshop And Premises, Worthington Street, Bradford, BD8 8HB",BD8 8HB,53.79849,-1.76768,1990-04-01,19250,IF3,WORKSHOP AND PREMISES,1997-01-29,Y,,,,,,,Yes,
25115,,"43, Emily Street, Keighley, BD21 3EG",BD21 3EG,53.87084,-1.90371,1998-07-03,1450,CS3,HAIRDRESSING SALON AND PREMISES,2003-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25116,,"176, Undercliffe Road, Bradford, BD2 3DD",BD2 3DD,53.81306,-1.73243,1990-04-01,5700,CS,SHOP AND PREMISES,2006-05-06,Y,,,Small Business Rate Relief,2007-04-01,,,,
25118,Wharfedale Stripes Limited T/A Green Thumb,"Unit 3, Drill Hall Business Park, East Parade, Ilkley, LS29 8EZ",LS29 8EZ,53.92806,-1.81755,1992-04-01,6200,IF3,WORKSHOP AND PREMISES,2017-05-26,Y,,,Small Business Rate Relief,2017-06-01,,,,
25120,Moorprint (Ilkley) Limited,"First Floor Unit 16, Booths Yard, Nile Road, Ilkley, LS29 8HJ",LS29 8HJ,53.92581,-1.82178,1990-04-01,3800,IF3,,2017-04-01,Y,,,Small Business Rate Relief,2017-04-01,,,,
25123,,"Damens Garage, Damems Road, Keighley, BD21 5EU",BD21 5EU,53.84997,-1.91908,1990-04-01,7100,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25130,Ultimate Splashbac Ltd,"Unit 1, Prospect Mills, Knowles Street, Bradford, BD4 6HA",BD4 6HA,53.77099,-1.72405,1990-04-01,20000,IF,INDOOR PLAY AREA,2008-03-08,Y,,,,,,,,
25132,,"57, Town Gate, Wyke, Bradford, BD12 9JD",BD12 9JD,53.73938,-1.76846,1990-04-01,1975,CS,SHOP AND PREMISES,2012-09-01,Y,,,Small Business Rate Relief,2012-09-01,,,,
25136,,"Unit 3 At, 1a, Sandbeds, Queensbury, BD13 1AA",BD13 1AA,53.77027,-1.84236,1990-04-01,5300,IF3,WORKSHOP AND PREMISES,2002-05-15,Y,,,Small Business Rate Relief,2007-04-01,,,,
25137,,"A & E Brown Accountancy Services, Central Place, Clayton, Bradford, BD14 6AZ",BD14 6AZ,53.78361,-1.81976,1990-04-01,2425,CS,SHOP AND PREMISES,2007-12-15,Y,,,Small Business Rate Relief,2007-12-15,,,,
25138,,"1st Floor Units 11 11a & 12, Walk Mills, The Walk, Coney Lane, Keighley, BD21 5AR",BD21 5AR,53.86259,-1.90630,1990-04-01,5800,CW,WAREHOUSE AND PREMISES,2013-05-01,Y,,,Small Business Rate Relief,2013-05-01,,,,
25139,Samsuk Limited,"Shop, 3, Beckside Road, Bradford, BD7 2JL",BD7 2JL,53.78713,-1.78855,1990-04-01,2100,CS,SHOP AND PREMISES,2017-06-21,Y,,,Small Business Rate Relief,2017-06-21,,,,
25143,Re-Dec Decorators Limited,"The Bakehouse, Albany Street, Wibsey, Bradford, BD6 1NW",BD6 1NW,53.76727,-1.76961,1990-04-01,3150,CW3,STORE AND PREMISES,1991-01-09,Y,,,Small Business Rate Relief,2007-04-01,,,,
25147,,"4, Belgrave Road, Keighley, BD21 2BP",BD21 2BP,53.86775,-1.91522,1998-03-06,3000,CS,SHOP AND PREMISES,2012-12-17,Y,,,Small Business Rate Relief,2012-12-17,,,,
25148,Co-Operative Group Limited,"Supermarket, School Street, Denholme, BD13 4BJ",BD13 4BJ,53.80179,-1.89458,1990-04-01,50500,CS,,1990-04-01,Y,,,,,,,,
25160,,"41, Emily Street, Keighley, BD21 3EG",BD21 3EG,53.87084,-1.90371,1998-07-03,1375,CS,SHOP AND PREMISES,2016-03-01,,Rateable Value,2016-03-01,,,,,,
25161,,"Store No 25, The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.79632,-1.75778,1992-04-01,425,CW3,STORE AND PREMISES,2007-09-01,Y,,,,,,,,
25169,Lloyds Bank Plc,"Part 5th Floor, Lloyd Bank Chambers, Hustlergate, Bradford, BD1 1PH",BD1 1PH,53.79464,-1.75196,1990-04-01,8600,CO,OFFICES AND PREMISES,2009-03-21,,Listed Building,2009-03-21,,,,,,
25173,Pinnacle (Bradford) Limited,"Part 2nd Floor, Arndale House, 4, Charles Street, Bradford, BD1 1EJ",BD1 1EJ,53.79433,-1.75130,1990-04-01,0,CO,,2015-07-20,,Rateable Value,2015-10-01,,,,,,
25175,Little Wellies Limited,"392, Kings Road, Bradford, BD2 1NH",BD2 1NH,53.82364,-1.74351,1990-04-01,18250,EN1,DAY NURSERY AND PREMISES,2014-10-01,Y,,,,,,,,
25179,Quinta Bar & Grill Limited,"10, Wells Road, Ilkley, LS29 9JD",LS29 9JD,53.92385,-1.82289,1990-04-01,12000,CR,,2014-09-05,Y,,,Small Business Rate Relief,2014-09-05,,,,
25181,First Class Child Care Limited,"Wesley House, Cross Road, Bradford, BD10 9RU",BD10 9RU,53.83781,-1.72557,1990-04-01,14250,EN1,DAY NURSERY AND PREMISES,2005-05-31,Y,,,,,,,,
25182,James Hargreaves Pm Limited,"Unit 1b, Gresley Road, Keighley, BD21 5JG",BD21 5JG,53.86595,-1.90281,1990-04-01,30750,CW,WAREHOUSE AND PREMISES,2004-04-16,Y,,,,,,,,
25183,,"1, Thornbridge Mews, Undercliffe Road, Bradford, BD2 3BL",BD2 3BL,53.81616,-1.73201,1993-07-19,14000,MH,SURGERY AND PREMISES,2012-10-19,Y,,,,,,,Yes,
25191,,"Providence Works, Providence Place, Bradford, BD12 8BJ",BD12 8BJ,53.74596,-1.76969,1990-04-01,6800,IF3,WORKSHOP AND PREMISES,2016-04-01,Y,,,Small Business Rate Relief,2016-04-01,,,,
25196,Last Drop Limited,"Omnibus Tavern, Ambler Thorn, Queensbury, BD13 2DP",BD13 2DP,53.76186,-1.85937,1990-04-01,3800,CL,PUBLIC HOUSE AND PREMISES,2018-03-27,Y,,,Small Business Rate Relief,2018-03-27,,,,
25198,R & B Building Services (Skipton) Ltd,"Devonshire Works, Pitt Street, Keighley, BD21 4PF",BD21 4PF,53.86678,-1.89650,1990-04-01,7000,IF3,WORKSHOP AND PREMISES,2014-08-01,Y,,,Small Business Rate Relief,2014-09-01,,,,
25208,Bradford MDC,"Doe Park Resevoir, Doe Park, Denholme, BD13 4LN",BD13 4LN,53.80353,-1.88545,1990-04-01,6200,LS1,SPORTING RIGHT AND PREMISES,1990-04-01,Y,,,,,,,,
25214,Athena Tanning Hair & Beauty Salon Ltd,"17, Crag Road, Shipley, BD18 2JR",BD18 2JR,53.83361,-1.76870,1990-04-01,3300,CS,SHOP AND PREMISES,2008-06-06,Y,,,Small Business Rate Relief,2017-09-18,,,,
25216,,"R-O, 252, Washington Street, Bradford, BD8 9QR",BD8 9QR,53.80450,-1.78973,1990-04-01,2900,CW3,STORE AND PREMISES,1990-04-01,Y,,,,,,,,
25228,R S P C A Bradford & District,"135, Godwin Street, Bradford, BD1 3PP",BD1 3PP,53.79568,-1.75523,1990-04-01,15000,CS,SHOP AND PREMISES,2015-09-11,Y,,,Mandatory Relief,2016-02-01,,,,
25229,Muniment Bradford Developments Ltd,"Car Park R-O Pride Hotel, Grattan Road, Bradford, BD1 2HS",BD1 2HS,53.79508,-1.76289,1990-04-01,2700,CP,CAR PARK AND PREMISES,2015-04-24,,Rateable Value,2017-04-01,,,,,,
25231,,"200b, Manningham Lane, Bradford, BD8 7DT",BD8 7DT,53.80431,-1.76226,1990-04-01,3450,IF3,WORKSHOP AND PREMISES,1998-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25232,Absolute Living Developments Ltd In Liquidation,"Olicana House, Chapel Street, Bradford, BD1 5RE",BD1 5RE,53.79503,-1.74419,1990-04-01,0,CO,,2014-08-29,,Rateable Value,2014-09-08,,,,,,
25233,Bradford MDC,"St Lukes C E Primary School, Fagley Lane, Bradford, BD2 3NS",BD2 3NS,53.81492,-1.71828,1990-04-01,30000,EL,,1990-04-01,Y,,,,,,,,
25234,,"38, Swain House Road, Bradford, BD2 1JW",BD2 1JW,53.82177,-1.74263,1990-04-01,6000,CS,SHOP AND PREMISES,2014-06-28,Y,,,Small Business Rate Relief,2014-06-28,,,,
25235,Nac & Co Ltd & Building Design,"Hayhills House, Hayhills Road, Silsden, BD20 9NE",BD20 9NE,53.91611,-1.93864,1990-04-01,6800,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25236,Bradford MDC,"Office And Land, Adj Bradford Mdc, Royd Ings Avenue, Keighley, BD21 4BY",BD21 4BY,53.87707,-1.89769,1996-04-29,20250,CO,,2001-07-23,Y,,,,,,,,
25239,Wh Smith Retail Holdings Limited,"24, The Grove, Ilkley, LS29 9EE",LS29 9EE,53.92474,-1.82558,1990-04-01,62000,CS,SHOP AND PREMISES,2005-10-01,Y,,,,,,,Yes,
25240,,"Unit 5, Baildon Green Mills, Upper Green, Baildon, BD17 7NL",BD17 7NL,53.84442,-1.77924,1990-04-01,6900,IF3,WORKSHOP AND PREMISES,2004-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25250,Quarry Auto Spares Limited,"Scrapyard, Carr House Lane, Wyke, Bradford, BD12 8DH",BD12 8DH,53.74593,-1.77252,1990-04-01,11500,CW1,LAND USED FOR STORAGE AND PREMISES,2005-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25254,,"58a, Ford, Queensbury, Bradford, BD13 2BH",BD13 2BH,53.76411,-1.85852,1990-04-01,1875,CS,SHOP AND PREMISES,2014-04-11,Y,,,Small Business Rate Relief,2014-04-11,,,,
25255,,"3-5, The Square, Bradford, BD8 0QB",BD8 0QB,53.79627,-1.81406,1990-04-01,4150,CS,SHOP AND PREMISES,2017-10-22,Y,,,Small Business Rate Relief,2017-10-22,,,,
25257,,"Unit 4a, Atlas Works, Pitt Street, Keighley, BD21 4YL",BD21 4YL,53.86623,-1.89696,1990-04-01,7800,IF3,WORKSHOP AND PREMISES,2005-02-07,Y,,,Small Business Rate Relief,2007-04-01,,,,
25258,,"100, Brearcliffe Road, Bradford, BD6 2LB",BD6 2LB,53.76038,-1.78122,1990-04-01,3900,CS,SHOP AND PREMISES,1990-04-01,Y,,,Small Business Rate Relief,2007-04-01,,,,
25262,,"8, Lime Court, Crossflatts, Bingley, BD16 2BW",BD16 2BW,53.86083,-1.84488,1990-04-01,4900,CS,SHOP AND PREMISES,1993-08-06,Y,,,Small Business Rate Relief,2007-04-01,,,,
25263,Governors Of Bradford Grammar School,"Boat House, Fairfax Road, Bingley, BD16 4DR",BD16 4DR,53.85798,-1.83805,1990-04-01,3200,MX,BOATHOUSE AND PREMISES,1990-04-01,Y,,,Mandatory Relief,2005-04-01,,,,
